Station,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
29490630,430377,5878861,90,85,89,72,93,78,93,69,88,57,72,69,83,95,31,97,89,76,75,90,82.753525,82.744125,82.73602,82.72899,82.72289,82.717606
29490632,430026,5878151,79,67,90,96,72,46,60,67,65,72,87,60,72,93,92,84,85,71,96,80,82.88516,82.88161,82.91844,82.87564,82.87317,82.870995
29490634,430332,5877857,96,30,24,18,87,81,95,84,36,33,40,54,33,54,30,32,35,34,81,85,81.41736,81.140594,64.709526,65.25429,65.347626,65.40677
29491338,432092,5877061,29,33,49,58,52,18,24,36,59,43,83,72,74,75,74,31,57,61,80,91,82.34175,82.500206,82.59477,82.6796,82.75598,82.824005
29499501,424067,5875569,13,23,25,18,28,24,82,29,91,37,39,93,58,33,33,38,82,92,50,84,80.041565,79.9058,79.82815,79.78174,79.7545,79.73899
29499502,425339,5875708,91,96,83,77,63,85,57,73,71,95,47,94,69,89,35,50,84,86,62,59,86.27811,86.17622,86.110275,86.07045,85.76054,85.618904
29499503,427472,5876044,82,64,83,75,64,60,60,34,36,63,45,65,85,94,81,53,31,64,71,53,85.67316,85.61083,85.6042,85.60363,85.60355,85.60353
29501404,438416,5878488,42,92,96,96,85,92,64,71,48,38,27,81,63,48,45,74,72,81,92,85,82.77858,82.781006,82.78077,82.78032,82.77987,82.779434
29510149,453738,5883060,59,75,62,71,57,78,63,56,59,82,68,45,68,68,81,59,51,38,54,68,83.92097,83.87309,83.86273,83.86057,83.85983,83.85934
29510657,454664,5882621,64,29,50,21,38,54,36,59,76,45,54,17,48,84,61,71,38,35,36,30,81.63025,81.55861,69.67609,69.80627,70.33205,70.95972
29510999,451296,5880359,55,78,64,67,84,85,54,74,57,48,46,45,70,94,82,69,70,88,95,63,85.22649,85.145775,84.73326,84.637314,84.62519,95.61388
29519002,453599,5881505,11,30,23,11,28,22,34,48,51,79,48,18,38,43,47,18,17,56,31,51,73.25375,76.939625,77.55603,77.665504,80.469925,71.95241
29519017,450075,5877008,58,78,82,65,74,92,46,82,81,63,80,90,86,77,73,88,63,63,80,80,86.00573,83.74852,83.649791,83.02901,82.973885,82.96367
29519021,448221,5878345,54,54,84,75,75,64,54,51,51,56,48,51,79,88,85,72,73,90,67,59,85.60693,85.60019,85.59415,85.58882,85.58391,85.57927
29519023,448206,5876176,4,97,27,10,96,88,89,78,95,97,33,63,83,86,81,72,85,58,38,92,82.85872,83.28041,94.546715,83.68281,83.730606,83.7198
29519026,452754,5882710,82,86,88,56,58,94,79,61,76,72,76,84,67,75,64,38,84,92,76,60,86.32761,86.27831,86.228676,86.17925,86.13025,86.081856
29519042,448899,5879751,75,90,58,63,65,92,84,41,54,29,16,84,84,62,58,71,95,38,94,81,83.69702,83.70182,94.71219,83.722,83.73082,83.73872
30491504,431585,5870144,45,69,36,40,23,96,43,71,56,45,49,80,93,91,86,45,72,37,83,47,86.52649,86.498726,86.77994,86.744,86.37337,86.12858
30491505,431887,5868812,32,52,74,77,32,42,58,48,65,51,81,63,73,77,72,90,55,58,40,90,82.350235,82.27495,82.20396,82.14646,82.10517,82.092285
30491509,431861,5868978,40,36,83,76,61,40,60,68,55,61,58,56,63,83,82,74,84,56,76,91,82.72246,82.71115,82.7085,82.7059,82.70347,82.70116
30491510,431833,5869142,61,77,90,64,94,62,77,79,67,45,72,79,66,75,81,91,96,87,74,63,84.74305,95.738686,84.7348,84.7313,84.728165,95.72536
30491512,431825,5869162,53,56,80,85,46,64,56,49,58,45,70,49,59,84,57,46,78,76,91,86,82.7746,82.76869,82.76601,82.76466,82.76361,82.76264
30491513,431697,5869391,58,57,82,78,64,66,60,92,71,68,89,92,87,90,66,42,38,86,44,72,83.38803,83.38658,94.38541,83.38435,83.38341,83.38254
30509090,440554,5869972,45,44,85,30,40,19,55,25,60,27,30,34,64,16,44,39,56,81,54,56,84.99916,82.450745,81.08824,82.786316,83.82327,95.42121
30509093,439496,5871861,19,23,16,17,13,88,93,91,97,36,37,46,39,15,97,92,96,86,81,82,83.57283,83.35791,94.28109,83.25052,83.23773,83.232315
